lkupClientId,dimCustomerMasterId,customerNumber,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,isBuyer,source_tenure,tenure,distToVenue,totalGames,recency,missed_games_1,missed_games_2,missed_games_over_2,click_link,fill_out_form,open_email,send_email,unsubscribe_email,openToSendRatio,clickToSendRatio,clickToOpenRatio,posting_records,resale_records,resale_atp,forward_records,cancel_records,email,inbound_email,inbound_phonecall,inperson_contact,internal_note,left_message,outbound_email,outbound_phonecall,phonecall,text,unknown,gender,childrenPresentInHH,maritalStatus,lengthOfResidenceInYrs,annualHHIncome,education,urbanicity,credits_after_refund,is_Lockdown,NumberofGamesPerSeason,CNTPostponedGames,isNextYear_Buyer,Label,Score_0,Score_1
5,71575,207190255,2021,Quarter Season,504.0,2022-01-07,0.5,14,TRUE,1460,130,0,2,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.8925,0.1075
5,71613,201195025,2021,Mini Plan,1364.0,2021-10-29,0.5,52,TRUE,2555,1478,0,1,1,1,0,0,40,0,146,260,0,0.561538461538,0.153846153846,0.273972602739,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.8742,0.1258
5,73423,205490187,2021,Quarter Season,1552.0,2022-01-25,0.9166666666666666,85,TRUE,1460,239,0,6,0,1,0,0,44,0,36,36,0,1.0,1.222222222222,1.222222222222,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.8392,0.1608
5,75296,190453533,2021,Half Season,3931.1999999999975,2022-01-09,0.8214285714285714,272,TRUE,3285,1890,0,12,1,1,1,0,24,0,68,338,0,0.201183431952,0.071005917159,0.35294117647,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,1,1,0.1167,0.8833
5,75361,137140,2021,Full Season,6501.600000000008,2022-01-26,0.875,270,TRUE,9490,1889,0,27,0,4,0,1,60,0,242,266,0,0.90977443609,0.225563909774,0.247933884297,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0234,0.9766
5,75910,203911273,2021,Quarter Season,9440.0,2022-01-26,2.0,23,TRUE,1825,105,0,2,0,0,0,0,0,0,62,84,0,0.738095238095,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.854,0.146
5,77538,142145,2021,Full Season,6501.600000000008,2022-01-26,0.875,270,TRUE,14600,1882,0,25,0,3,1,0,0,0,58,390,0,0.148717948717,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1563,0.8437
5,78657,211544940,2021,Full Season,13007.5,2022-01-26,0.8214285714285714,34,TRUE,365,222,0,27,0,1,4,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.7579,0.2421
5,81551,190043748,2021,Full Season,30094.0,2022-01-26,1.0,269,TRUE,13870,1887,0,26,0,1,0,0,28,0,252,358,0,0.703910614525,0.078212290502,0.111111111111,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0108,0.9892
5,81752,190065977,2021,Full Season,7021.8999999999905,2021-12-29,0.14285714285714285,270,TRUE,2920,1892,0,4,6,1,1,3,26,0,270,378,0,0.714285714285,0.068783068783,0.096296296296,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.532,0.468
5,84631,206313636,2021,Full Season,3268.0,2022-01-10,0.6607142857142857,269,TRUE,1460,1265,0,22,1,4,3,1,0,0,70,390,0,0.179487179487,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.1176,0.8824
5,87237,200079038,2021,Half Season,2604.0,2022-01-05,0.5714285714285714,264,TRUE,2920,1830,0,8,2,2,2,0,4,0,68,138,0,0.492753623188,0.028985507246,0.058823529411,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,0,0.6564,0.3436
5,88626,210397543,2021,Half Season,1860.0,2021-12-17,0.0625,22,TRUE,730,142,0,1,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,1,1,0,0,0,0,0.0,1,185,0,0,0,0.9389,0.0611
5,89011,859458,2021,Full Season,25155.0,2022-01-26,0.7142857142857143,270,TRUE,2920,1672,0,26,0,1,3,2,72,0,390,422,0,0.924170616113,0.170616113744,0.184615384615,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0.0,1,185,0,0,1,0.0172,0.9828
