dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
16036,2022,Full Season,437.75,2022-06-25,0.3,159,1095,1026,34.74,1,2,0,1,0,0,0.583,0.417
16046,2022,Full Season,7004.0,2022-06-25,0.6,110,1095,1110,10.85,1,1,0,1,0,1,0.1932,0.8068
16070,2022,Full Season,1050.6,2022-05-28,0.45,161,1095,1082,10.85,2,0,2,0,0,0,0.8603,0.1397
16072,2022,Full Season,875.5,2022-04-09,0.25,159,1095,1054,16.2,6,1,0,1,0,0,0.8206,0.1794
16175,2022,Full Season,1575.9,2022-06-25,0.8,162,1095,1090,44.7,1,2,0,0,0,0,0.7543,0.2457
16192,2022,Half Season,2436.0,2022-05-22,0.67,1,0,226,20.13,1,2,0,0,0,0,0.6624,0.3376
16245,2022,Full Season,4040.0,1970-01-01,0.0,102,1095,1101,63.09,0,0,0,1,0,0,0.8509,0.1491
16331,2022,Full Season,476.0,2022-05-22,0.3,53,730,718,25.94,3,0,0,2,0,0,0.8904,0.1096
16378,2022,Full Season,4552.6,2022-05-28,0.15,162,1095,1054,37.83,2,0,1,1,0,0,0.7083,0.2917
16416,2022,Full Season,5253.0,2022-06-25,0.8,159,1095,1108,1.84,1,2,0,0,0,1,0.352,0.648
16426,2022,Full Season,1400.8,2022-05-14,0.3,79,1095,969,52.45,4,0,0,2,0,0,0.5585,0.4415
16483,2022,Full Season,525.3,2022-05-28,0.6,50,365,808,70.93,2,2,1,0,0,0,0.8182,0.1818
16535,2022,Full Season,1843.82,2022-06-25,0.78,19,365,244,17.84,1,2,0,0,0,0,0.6539,0.3461
16539,2022,Full Season,6128.5,2022-06-25,0.75,162,1095,1110,8.55,1,2,0,0,0,1,0.2536,0.7464
16613,2022,Full Season,4377.5,2022-06-25,0.75,102,730,1003,8.11,1,2,0,0,0,0,0.6795,0.3205
16656,2022,Full Season,579.22,2022-04-09,0.29,14,1095,578,23.26,1,1,1,0,0,0,0.9534,0.0466
16775,2022,Full Season,1400.8,2022-06-25,0.45,162,1095,1054,23.14,1,3,1,0,0,0,0.9217,0.0783
16892,2022,Full Season,6128.5,2022-05-22,0.25,162,730,711,51.68,3,0,0,2,0,0,0.5358,0.4642
16924,2022,Full Season,2276.3,2022-03-12,0.2,162,1095,1070,33.3,8,0,0,1,0,0,0.7437,0.2563
17101,2022,Full Season,247.42,1970-01-01,0.0,162,730,782,17.91,0,0,0,1,0,0,0.7731,0.2269
17137,2022,Full Season,2276.3,2022-06-25,0.5,162,1095,1056,49.95,1,1,2,0,0,0,0.8846,0.1154
17184,2022,Full Season,437.75,2022-04-24,0.1,114,1095,1033,13.37,5,0,0,2,0,0,0.924,0.076
17191,2022,Half Season,1160.0,2022-05-22,0.5,5,1095,1091,47.79,1,3,0,0,0,0,0.5584,0.4416
17316,2022,Full Season,1575.9,2022-06-25,0.2,115,1095,1111,11.04,1,1,0,1,0,0,0.7303,0.2697
17341,2022,Full Season,12257.0,2022-05-28,0.63,68,1095,1063,10.7,2,1,1,0,0,1,0.1149,0.8851
17412,2022,Full Season,2224.92,1970-01-01,0.0,159,730,831,10.5,0,0,0,1,0,0,0.9328,0.0672
17418,2022,Full Season,2276.3,2022-05-28,0.5,162,730,958,48.37,2,1,2,0,0,0,0.6965,0.3035
17483,2022,Half Season,414.0,2022-02-26,1.0,8,1095,826,63.09,0,0,0,0,0,0,0.986,0.014
17484,2022,Full Season,3151.8,2022-06-25,0.7,100,1095,1091,35.95,1,2,0,0,0,0,0.6931,0.3069
17489,2022,Full Season,787.95,2022-05-22,0.3,162,1095,1070,20.13,3,0,2,1,0,0,0.9622,0.0378
17524,2022,Full Season,5253.0,2022-06-25,0.75,159,730,944,6.46,1,2,0,0,0,1,0.1412,0.8588
17545,2022,Full Season,2346.0,2022-06-25,0.65,162,365,387,23.14,1,3,0,0,0,0,0.956,0.044
17575,2022,Full Season,1400.8,1970-01-01,0.0,162,1095,1048,27.17,0,0,0,1,0,0,0.9652,0.0348
17598,2022,Full Season,1138.15,2022-05-28,0.5,95,730,320,0.0,2,1,2,0,0,0,0.8029,0.1971
17643,2022,Full Season,4552.6,2022-06-25,0.7,162,1095,1095,33.3,1,1,1,0,0,0,0.8338,0.1662
17822,2022,Full Season,2276.3,2022-06-25,0.6,162,365,509,4360.21,1,4,0,0,0,0,0.9545,0.0455
17832,2022,Full Season,3193.0,1970-01-01,0.0,24,0,130,270.76,0,0,1,0,0,0,0.9697,0.0303
17856,2022,Full Season,1400.8,2022-06-25,0.4,162,1095,1025,7.19,1,3,0,1,0,0,0.8352,0.1648
17867,2022,Full Season,963.05,2022-05-28,0.5,162,730,950,65.22,2,1,2,0,0,0,0.5863,0.4137
18021,2022,Full Season,633.75,2022-05-22,1.0,0,0,0,0.0,0,0,0,0,0,0,0.992,0.008
18060,2022,Full Season,700.4,1970-01-01,0.0,162,730,976,44.96,0,0,0,1,0,0,0.9552,0.0448
18184,2022,Full Season,700.4,2022-05-14,0.3,162,730,969,65.22,4,0,0,2,0,0,0.6428,0.3572
18232,2022,Full Season,1926.1,2022-06-25,0.75,99,1095,992,11.36,1,2,0,0,0,0,0.6461,0.3539
18410,2022,Full Season,8976.0,2022-05-22,0.38,88,365,438,35.1,3,0,0,2,0,0,0.6201,0.3799
18533,2022,Full Season,3064.25,1970-01-01,0.0,162,1095,1088,47.74,0,0,0,1,0,0,0.7761,0.2239
18547,2022,Full Season,1105.0,2022-06-25,0.8,123,1095,1083,17.84,1,2,0,0,0,0,0.7017,0.2983
18636,2022,Full Season,1575.9,2022-05-22,0.45,162,1095,1066,39.09,3,0,1,1,0,0,0.9208,0.0792
18684,2022,Full Season,1138.15,2022-05-14,0.1,110,1095,1115,63.09,4,0,0,2,0,1,0.4717,0.5283
18770,2022,Full Season,425.0,2022-06-25,0.5,159,1095,1006,25.16,1,3,1,0,0,0,0.6265,0.3735
18841,2022,Full Season,2535.0,2022-03-12,0.5,103,0,103,0.0,0,0,0,0,0,0,0.8284,0.1716
18843,2022,Full Season,942.4,2022-02-26,0.14,162,1095,598,12.29,6,0,0,1,0,0,0.8865,0.1135
19140,2022,Full Season,700.4,2022-05-28,0.4,100,1095,1038,47.39,2,0,1,1,0,0,0.5428,0.4572
19151,2022,Full Season,6128.5,2022-06-25,0.7,162,1095,979,11.04,1,1,1,0,0,1,0.2018,0.7982
19256,2022,Full Season,1400.8,2022-06-25,0.6,162,1095,997,51.7,1,3,0,0,0,0,0.7238,0.2762
19282,2022,Full Season,963.05,1970-01-01,0.0,162,730,978,22.4,0,0,0,1,0,0,0.948,0.052
19304,2022,Full Season,1400.8,2022-06-25,0.7,98,365,550,51.24,1,1,1,0,0,0,0.7832,0.2168
