dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
108797,82.18,2022,13,13,0,0,1,0.0,Individual,None,None,0.566
108797,82.18,2023,14,14,1,1,2,38.0,None,Individual,None,1.0
108822,14.32,2022,30,22,17,9,1,31.5,Individual,Full Season,Individual,0.92
108822,14.32,2023,31,23,1,1,2,0.0,None,Individual,None,1.0
108827,196.93,2022,1,0,1,0,0,88.0,None,Individual,None,1.0
108827,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108833,9.54,2022,30,25,17,12,1,35.0,Individual,Full Season,Individual,0.93
108833,9.54,2023,31,25,1,0,2,0.0,None,Individual,None,1.0
108836,46.25,2023,1,1,1,1,0,33.0,None,Individual,None,1.0
108841,196.93,2022,1,1,1,1,0,94.0,None,Individual,None,1.0
108841,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
108842,196.93,2023,1,1,1,1,0,38.0,None,Individual,None,1.0
108853,1934.71,2023,1,1,1,1,0,42.0,None,Individual,None,1.0
108861,6.46,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
108861,6.46,2023,1,0,0,0,1,0.0,None,None,None,1.0
108865,29.7,2022,13,13,0,0,1,0.0,None,None,None,1.0
108865,29.7,2023,13,13,0,0,2,0.0,None,None,None,1.0
108888,47.99,2023,1,0,1,0,0,69.0,None,Individual,None,1.0
108893,48.37,2023,10,10,10,10,0,68.74,None,Full Season,None,1.0
108894,29.38,2022,13,13,0,0,1,0.0,None,None,None,1.0
108894,29.38,2023,13,13,0,0,2,0.0,None,None,None,1.0
108899,3.97,2023,1,0,1,0,0,37.0,None,Individual,None,1.0
108906,44.96,2022,13,13,0,0,1,0.0,None,None,None,1.0
108906,44.96,2023,13,13,0,0,2,0.0,None,None,None,1.0
108910,48.37,2022,30,22,17,9,1,34.0,Individual,Full Season,Individual,0.99
108910,48.37,2023,31,23,1,1,2,0.0,None,Individual,None,1.0
108913,12.75,2022,30,28,17,15,1,20.59,Individual,Full Season,Individual,0.98
108913,12.75,2023,31,29,1,1,2,0.0,None,Individual,None,1.0
108923,45.06,2023,1,1,1,1,0,89.0,None,Individual,None,1.0
108927,2008.36,2023,1,0,1,0,0,69.0,None,Individual,None,1.0
108929,49.08,2022,13,13,0,0,1,0.0,None,None,None,1.0
108929,49.08,2023,13,13,0,0,2,0.0,None,None,None,1.0
108931,46.25,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
108931,46.25,2023,1,0,0,0,1,0.0,None,None,None,1.0
108932,20.13,2022,1,0,1,0,0,75.0,None,Individual,None,0.99
108932,20.13,2023,1,0,0,0,1,0.0,None,None,None,1.0
108934,196.93,2022,1,0,1,0,0,35.0,None,Individual,None,0.9859
108934,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108942,26.22,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
108942,26.22,2023,1,0,0,0,1,0.0,None,None,None,1.0
108945,29.59,2022,30,23,17,10,1,25.79,Individual,Full Season,Individual,0.82
108945,29.59,2023,31,24,1,1,2,0.0,None,Individual,None,1.0
108949,10.7,2023,1,0,1,0,0,42.0,None,Individual,None,0.995
108956,21.65,2023,1,0,1,0,0,60.0,None,Individual,None,1.0
108962,196.93,2022,1,0,1,0,0,83.0,None,Individual,None,1.0
108962,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
108966,22.4,2022,30,29,17,16,1,20.59,Individual,Full Season,Individual,0.9571
108966,22.4,2023,31,30,1,1,2,0.0,None,Individual,None,1.0
108969,44.7,2023,2,0,2,0,0,34.78,None,Individual,None,0.8
108970,196.93,2023,1,0,1,0,0,53.0,None,Individual,None,0.9669
108974,46.51,2022,6,6,0,0,1,0.0,None,None,None,1.0
108974,46.51,2023,6,6,0,0,2,0.0,None,None,None,1.0
108978,45.06,2022,1,0,1,0,0,55.0,None,Individual,None,1.0
108978,45.06,2023,1,0,0,0,1,0.0,None,None,None,1.0
108980,196.93,2022,13,13,0,0,1,0.0,None,None,None,0.9893
108980,196.93,2023,13,13,0,0,2,0.0,None,None,None,1.0
108982,41.44,2022,23,22,17,16,1,53.53,Individual,Full Season,Individual,0.95
108982,41.44,2023,24,23,1,1,2,0.0,None,Individual,None,1.0
108987,29.35,2022,13,13,0,0,1,0.0,None,None,None,1.0
108987,29.35,2023,13,13,0,0,2,0.0,None,None,None,1.0
108997,42.31,2022,1,0,1,0,0,30.0,None,Individual,None,1.0
108997,42.31,2023,1,0,0,0,1,0.0,None,None,None,1.0
109009,196.93,2022,1,0,1,0,0,33.0,None,Individual,None,0.9851
109009,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
109013,196.93,2022,1,0,1,0,0,47.0,None,Individual,None,0.9791
109013,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
109015,450.17,2022,1,0,1,0,0,95.0,None,Individual,None,0.99
109015,450.17,2023,1,0,0,0,1,0.0,None,None,None,1.0
109041,196.93,2023,1,0,1,0,0,58.0,None,Individual,None,1.0
109051,76.98,2022,29,22,17,10,1,20.59,Full Season,Full Season,Full Season,0.72
109051,76.98,2023,31,23,2,1,2,13.57,None,Full Season,None,0.98
109075,38.86,2022,1,0,1,0,0,65.0,None,Individual,None,1.0
109075,38.86,2023,1,0,0,0,1,0.0,None,None,None,1.0
109078,61.49,2022,1,0,1,0,0,40.0,None,Individual,None,0.99
109078,61.49,2023,1,0,0,0,1,0.0,None,None,None,1.0
109080,1823.44,2023,1,1,1,1,0,38.0,None,Individual,None,0.99
109082,42.7,2023,1,1,1,1,0,41.0,None,Individual,None,1.0
109087,38.86,2023,1,0,1,0,0,55.0,None,Individual,None,1.0
109089,196.93,2023,1,0,1,0,0,72.0,None,Individual,None,1.0
109090,1712.64,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
109090,1712.64,2023,1,0,0,0,1,0.0,None,None,None,1.0
109094,196.93,2023,1,1,1,1,0,193.0,None,Individual,None,1.0
109095,196.93,2022,1,0,1,0,0,65.0,None,Individual,None,0.9721
109095,196.93,2023,1,0,0,0,1,0.0,None,None,None,1.0
109100,6.46,2023,2,0,2,0,0,54.0,None,Individual,None,1.0
109102,1761.78,2022,1,1,1,1,0,28.0,None,Individual,None,1.0
109102,1761.78,2023,1,1,0,0,1,0.0,None,None,None,1.0
109104,32.18,2022,30,25,17,12,1,42.0,Individual,Full Season,Individual,0.94
109104,32.18,2023,31,26,1,1,2,0.0,None,Individual,None,1.0
109109,59.73,2022,1,0,1,0,0,58.0,None,Individual,None,1.0
109109,59.73,2023,1,0,0,0,1,0.0,None,None,None,1.0
109110,27.17,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
109111,1951.99,2022,1,0,1,0,0,32.0,None,Individual,None,1.0
109111,1951.99,2023,1,0,0,0,1,0.0,None,None,None,1.0
109113,42.7,2022,1,0,1,0,0,40.0,None,Individual,None,1.0
