dimCustomerMasterId,year,productGrouping,totalSpent,recentDate,attendancePercent,renewedBeforeDays,source_tenure,tenure,distToVenue,recency,missed_games_1,missed_games_2,missed_games_over_2,isNextYear_Buyer,Label,Score_0,Score_1
3443,2022,Full Season,7004.0,2022-05-28,0.38,79,730,962,21.65,0,2,0,1,0,0,0.7804,0.2196
3606,2022,Full Season,875.5,2022-05-28,0.63,159,1095,1054,41.7,0,3,0,0,0,0,0.8157,0.1843
3617,2022,Full Season,1050.6,2022-06-25,0.63,161,1095,1055,0.0,0,2,0,0,0,0,0.5218,0.4782
3620,2022,Full Season,452.0,2022-06-25,0.88,25,365,508,26.75,0,2,0,0,0,0,0.8198,0.1802
3641,2022,Full Season,221.85,1970-01-01,0.0,114,365,157,27.58,0,0,0,1,0,0,0.783,0.217
3747,2022,Full Season,437.75,2022-06-25,0.88,101,1095,1095,39.09,0,2,0,0,0,0,0.6029,0.3971
3825,2022,Full Season,578.62,2022-05-28,1.0,53,1095,941,42.31,0,0,0,0,0,0,0.8426,0.1574
3876,2022,Full Season,453.49,2022-05-28,0.88,0,0,225,0.0,0,1,0,0,0,0,0.9413,0.0587
3960,2022,Full Season,7956.0,2022-05-28,0.79,87,365,312,2.83,0,1,0,0,0,0,0.8082,0.1918
3990,2022,Full Season,1575.9,2022-06-25,0.81,99,730,968,29.06,1,2,0,0,0,0,0.7092,0.2908
3993,2022,Full Season,256.64,2022-03-12,0.5,29,365,71,12.29,2,0,1,0,0,0,0.8481,0.1519
4029,2022,Full Season,2889.15,2022-06-25,0.63,162,730,976,17.84,1,1,1,0,0,1,0.4458,0.5542
4065,2022,Full Season,1926.1,2022-05-14,0.5,99,1095,978,48.37,2,0,2,0,0,0,0.8992,0.1008
4189,2022,Full Season,1156.0,2022-05-28,0.75,66,365,291,33.23,0,1,0,0,0,0,0.803,0.197
4284,2022,Full Season,1156.0,2022-06-25,0.75,78,365,303,82.18,0,2,0,0,0,0,0.755,0.245
4296,2022,Full Season,194.34,2022-04-09,0.25,159,1095,815,63.09,0,0,0,1,0,0,0.7932,0.2068
