,dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
808,3358,26.22,2023,13,13,0,0,2,0.0,None,None,None,1.0
811,3359,24.84,2023,48,48,18,18,2,43.78,None,Full Season,None,0.55
813,3370,11.04,2023,1,0,0,0,1,0.0,None,None,None,0.99
815,3384,1.84,2023,3,0,0,0,1,0.0,None,None,None,0.9118
816,3387,23.35,2023,1,0,1,0,0,68.0,None,Individual,None,0.9905
817,3393,1632.49,2023,1,0,1,0,0,157.0,None,Individual,None,0.92
819,3395,196.93,2023,2,0,0,0,1,0.0,None,None,None,0.9987
821,3404,20.13,2023,2,1,1,1,1,53.0,None,Individual,None,0.87
823,3422,8.55,2023,1,0,0,0,1,0.0,None,None,None,1.0
826,3431,26.68,2023,25,14,1,0,2,0.0,None,Individual,None,0.5967
828,3438,47.74,2023,1,0,0,0,1,0.0,None,None,None,0.9975
831,3443,21.65,2023,45,34,18,15,2,194.56,None,Full Season,Individual,0.51
832,3447,18.51,2023,1,0,1,0,0,80.0,None,Individual,None,0.9042
834,3472,1135.94,2023,1,0,0,0,1,0.0,None,None,None,1.0
836,3483,47.74,2023,1,0,0,0,1,0.0,None,None,None,0.9975
838,3505,15.07,2023,1,1,0,0,1,0.0,None,None,None,0.7647
841,3507,27.17,2023,31,20,1,0,2,0.0,None,None,Individual,0.6233
844,3512,19.18,2023,31,24,1,1,2,0.0,None,Individual,None,0.4667
847,3521,50.09,2023,7,7,0,0,2,0.0,None,None,None,1.0
849,3523,280.45,2023,1,0,0,0,1,0.0,None,None,None,0.9899
851,3591,10.5,2023,1,0,0,0,1,0.0,None,None,None,1.0
852,3594,44.96,2023,1,0,1,0,0,72.0,None,Individual,None,0.9181
855,3606,41.7,2023,48,39,18,13,2,24.32,None,Full Season,Individual,0.7
857,3609,45.26,2023,1,0,0,0,1,0.0,None,None,None,0.9883
859,3610,82.62,2023,2,0,1,0,1,42.0,None,Individual,None,0.97
861,3614,196.93,2023,1,1,0,0,1,0.0,None,None,None,1.0
864,3617,196.93,2023,48,39,18,15,2,29.29,None,Full Season,Individual,0.82
866,3624,26.22,2023,1,1,0,0,1,0.0,None,None,None,0.9967
868,3625,54.54,2023,1,0,0,0,1,0.0,None,None,None,1.0
869,3628,74.59,2023,1,0,1,0,0,37.0,None,Individual,None,0.9758
871,3629,52.21,2023,2,1,0,0,1,0.0,None,None,None,1.0
873,3639,58.46,2023,2,0,1,0,1,152.0,None,Individual,None,0.79
874,3641,27.58,2023,4,4,4,4,0,55.46,None,Full Season,None,0.59
877,3652,196.93,2023,13,13,0,0,2,0.0,None,None,None,0.989
879,3671,27.17,2023,1,0,0,0,1,0.0,None,None,None,1.0
