dimCustomerMasterId,distance,seasonYear,events_prior,attended_prior,events_last,attended_last,tenure,atp_last,product_current,product_last,Label,Score
345,3764.39,2023,1,0,1,0,0,633.75,None,Full Season,None,0.99
353,197.81,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
354,29.38,2022,30,21,17,8,1,20.59,Full Season,Full Season,Full Season,0.84
354,29.38,2023,48,30,18,9,2,24.32,None,Full Season,None,1.0
364,197.81,2023,1,1,1,1,0,38.0,None,Individual,None,1.0
365,197.81,2022,1,1,1,1,0,30.0,None,Individual,None,1.0
365,197.81,2023,1,1,0,0,1,0.0,None,None,None,1.0
371,13.28,2022,1,0,1,0,0,80.0,Individual,Individual,Individual,0.58
371,13.28,2023,2,1,1,1,1,69.0,None,Individual,None,1.0
379,23.26,2022,1,0,1,0,0,35.0,None,Individual,None,1.0
379,23.26,2023,1,0,0,0,1,0.0,None,None,None,1.0
383,56.08,2022,7,7,0,0,1,0.0,None,None,None,1.0
383,56.08,2023,7,7,0,0,2,0.0,None,None,None,1.0
396,197.81,2022,3,1,3,1,0,0.0,None,None,None,0.5683
396,197.81,2023,3,1,0,0,1,0.0,None,None,None,1.0
401,25.94,2022,30,26,17,13,1,40.53,Individual,Full Season,Full Season,0.67
401,25.94,2023,31,27,1,1,2,0.0,None,Individual,None,1.0
409,61.71,2022,30,24,17,11,1,23.33,Individual,Full Season,Individual,0.73
409,61.71,2023,31,24,1,0,2,0.0,None,Individual,None,1.0
411,999.87,2022,1,0,1,0,0,50.0,None,Half Season,None,1.0
411,999.87,2023,1,0,0,0,1,0.0,None,None,None,1.0
412,76.98,2022,1,0,1,0,0,35.0,Individual,Individual,None,1.0
412,76.98,2023,3,0,2,0,1,57.2,None,Individual,None,1.0
413,17.91,2022,1,1,1,1,0,105.0,None,Individual,None,1.0
413,17.91,2023,1,1,0,0,1,0.0,None,None,None,1.0
416,3634.24,2022,2,0,2,0,0,34.31,Individual,Individual,Individual,0.61
416,3634.24,2023,3,0,1,0,1,42.0,None,Individual,None,1.0
417,69.88,2023,1,0,1,0,0,80.0,None,Individual,None,1.0
418,22.58,2022,1,0,1,0,0,45.0,None,Individual,None,0.9442
418,22.58,2023,1,0,0,0,1,0.0,None,None,None,1.0
420,26.75,2022,30,20,17,7,1,37.06,Full Season,Full Season,Full Season,0.82
420,26.75,2023,48,29,18,9,2,43.78,None,Full Season,None,1.0
426,197.81,2023,1,0,1,0,0,24.0,None,Individual,None,1.0
441,52.45,2022,30,23,17,10,1,22.11,Full Season,Full Season,Individual,0.71
441,52.45,2023,48,33,18,10,2,41.65,None,Full Season,None,1.0
443,197.81,2022,1,0,1,0,0,70.0,None,Individual,None,0.9358
443,197.81,2023,1,0,0,0,1,0.0,None,None,None,1.0
448,197.81,2023,1,0,1,0,0,23.0,None,Individual,None,1.0
450,197.81,2023,1,0,1,0,0,172.0,None,Individual,None,1.0
457,52.45,2022,30,25,17,12,1,45.29,Individual,Full Season,Individual,0.556
457,52.45,2023,31,26,1,1,2,0.0,None,Individual,None,1.0
